Time,Angle,BuzzerState
1,0.00,Off
2,0.00,Off
3,0.00,Off
4,0.00,Off
5,0.00,Off
6,0.00,Off
7,0.00,Off
8,4.50,Off
9,4.50,Off
10,0.00,Off
11,4.50,Off
12,0.00,Off
13,4.50,Off
14,4.50,Off
15,0.00,Off
16,0.00,Off
17,4.50,Off
18,0.00,Off
19,0.00,Off
20,0.00,Off
21,4.50,Off
22,0.00,Off
23,4.50,Off
24,0.00,Off
25,4.50,Off
26,0.00,Off
27,0.00,Off
28,4.50,Off
29,0.00,Off
30,0.00,Off
31,4.50,Off
32,0.00,Off
33,4.50,Off
35,0.00,Off
36,0.00,Off
37,0.00,Off
38,0.00,Off
39,13.50,Off
40,153.00,On
41,153.00,On
42,36.00,Off
43,0.00,Off
44,0.00,Off
45,0.00,Off
46,0.00,Off
